tt0068646,The Godfather
tt0071562,The Godfather: Part II
tt0056172,Lawrence of Arabia
tt0094889,Cocktail
tt0092086,¡Three Amigos!
tt0088161,Splash
tt0086250,Scarface
tt0091790,Pretty in Pink
tt0093894,The Running Man
tt0075860,Close Encounters of the Third Kind
tt0064116,Once Upon a Time in the West
tt0061578,The Dirty Dozen
tt0089755,Out of Africa
tt0090305,Weird Science
tt0063522,Rosemary's Baby
tt0054215,Psycho
tt0032976,Rebecca
tt0038787,Notorious
tt0050212,The Bridge on the River Kwai
tt0059113,Doctor Zhivago
tt0092005,Stand by Me
tt0091763,Platoon
tt0083987,Gandhi
tt0102798,Robin Hood: Prince of Thieves
tt0089218,The Goonies
tt0101761,The Doors
tt0079944,Stalker
tt0046250,Roman Holiday
tt0095765,Cinema Paradiso
tt0040746,Rope
tt0084787,The Thing
tt0102926,The Silence of the Lambs
tt0071360,The Conversation
tt0103064,Terminator 2: Judgment Day
tt0093409,Lethal Weapon
tt0052357,Vertigo
tt0088763,Back to the Future
tt0086960,Beverly Hills Cop
tt0101393,Backdraft
tt0093437,The Lost Boys
tt0083658,Blade Runner
tt0084805,Tootsie
tt0093010,Fatal Attraction
tt0102685,Point Break
tt0068473,Deliverance
tt0103074,Thelma & Louise
tt0097958,Christmas Vacation
tt0086200,Risky Business
tt0082694,Mad Max 2
tt0092099,Top Gun
tt0076666,Saturday Night Fever
tt0080761,Friday the 13th
tt0094721,Beetlejuice
tt0072890,Dog Day Afternoon
tt0047396,Rear Window
tt0102059,Hot Shots!
tt0368447,The Village
tt0120784,Payback
tt0335345,The Passion of the Christ
tt1229340,Anchorman 2: The Legend Continues
tt1234721,RoboCop
tt0311289,Holes
tt0302886,Old School
tt0115734,Bottle Rocket
tt0423977,Charlie Bartlett
tt0088128,Sixteen Candles
tt0112697,Clueless
tt1706620,Snowpiercer
tt1937390,Nymphomaniac: Vol. I
tt0822832,Marley & Me
tt0359950,The Secret Life of Walter Mitty
tt0058385,My Fair Lady
tt0265208,The Girl Next Door
tt1135503,Julie & Julia
tt1335975,47 Ronin
tt0095631,Midnight Run
tt0993846,The Wolf of Wall Street
tt0113277,Heat
tt0112462,Batman Forever
tt0477348,No Country for Old Men
tt1074638,Skyfall
tt0381061,Casino Royale
tt1253863,300: Rise of an Empire
tt0360717,King Kong
tt0441773,Kung Fu Panda
tt1298650,Pirates of the Caribbean: On Stranger Tides
tt0259711,Vanilla Sky
tt0117060,Mission: Impossible
tt0418279,Transformers
tt1399103,Transformers: Dark of the Moon
tt1000774,Sex and the City
tt0086879,Amadeus
tt0091042,Ferris Bueller's Day Off
tt0096874,Back to the Future Part II
tt0212985,Hannibal
tt1345836,The Dark Knight Rises
tt1375666,Inception
tt1276104,Looper
tt0167404,The Sixth Sense
tt0212720,A.I. Artificial Intelligence
tt0988045,Sherlock Holmes
tt0848228,Avengers Assemble
tt0335266,Lost in Translation
tt0107048,Groundhog Day
tt0111161,The Shawshank Redemption
tt1024648,Argo
tt0840361,The Town
tt0482571,The Prestige
tt0468569,The Dark Knight
tt0388795,Brokeback Mountain
tt0246578,Donnie Darko
tt0118884,Contact
tt0078748,Alien
tt0090605,Aliens
tt0434409,V for Vendetta
tt0133093,The Matrix
tt0111257,Speed
tt1454468,Gravity
tt0240772,Ocean's Eleven
tt0361748,Inglourious Basterds
tt0368891,National Treasure
tt0113627,Leaving Las Vegas
tt0164052,Hollow Man
tt0112384,Apollo 13
tt0120338,Titanic
tt0338013,Eternal Sunshine of the Spotless Mind
tt0372784,Batman Begins
tt0325710,The Last Samurai
tt1217209,Brave
tt1403865,True Grit
tt0118715,The Big Lebowski
tt0116282,Fargo
tt0095647,Mississippi Burning
tt0145487,Spider-Man
tt0316654,Spider-Man 2
tt0413300,Spider-Man 3
tt0758746,Friday the 13th
tt0458352,The Devil Wears Prada
tt1707386,Les Misérables
tt1504320,The King's Speech
tt0314331,Love Actually
tt0276751,About a Boy
tt1588173,Warm Bodies
tt1464540,I Am Number Four
tt0337978,Die Hard 4.0
tt0384793,Accepted
tt1232829,21 Jump Street
tt2334879,White House Down
tt0099348,Dances with Wolves
tt0120689,The Green Mile
tt0401792,Sin City
tt1125849,The Wrestler
tt1189340,The Lincoln Lawyer
tt0418689,Flags of Our Fathers
tt0120815,Saving Private Ryan
tt0258463,The Bourne Identity
tt0130827,Run Lola Run
tt0250258,Das Experiment
tt0816442,The Book Thief
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
tt0120737,The Lord of the Rings: The Fellowship of the Ring
tt0167260,The Lord of the Rings: The Return of the King
tt0399146,A History of Violence
tt0268978,A Beautiful Mind
tt0180093,Requiem for a Dream
tt0181689,Minority Report
tt0183649,Phone Booth
tt0478134,In the Valley of Elah
tt1446714,Prometheus
tt1132620,The Girl with the Dragon Tattoo
tt0120915,Star Wars: Episode I - The Phantom Menace
tt0121766,Star Wars: Episode III - Revenge of the Sith
tt0121765,Star Wars: Episode II - Attack of the Clones
tt0947798,Black Swan
tt0126029,Shrek
tt0145660,Austin Powers: The Spy Who Shagged Me
tt1119646,The Hangover
tt1231583,Due Date
tt0945513,Source Code
tt1457767,The Conjuring
tt1591095,Insidious
tt1270798,X-Men: First Class
tt0493464,Wanted
tt0824747,Changeling
tt0296572,The Chronicles of Riddick
tt1905041,Fast & Furious 6
tt0232500,The Fast and the Furious
tt0499549,Avatar
tt0800320,Clash of the Titans
tt0108052,Schindler's List
tt1201607,Harry Potter and the Deathly Hallows: Part 2
tt0304141,Harry Potter and the Prisoner of Azkaban
tt0926084,Harry Potter and the Deathly Hallows: Part 1
tt0295297,Harry Potter and the Chamber of Secrets
tt0241527,Harry Potter and the Philosopher's Stone
tt0172495,Gladiator
tt0076759,Star Wars: Episode IV - A New Hope
tt0080684,Star Wars: Episode V - The Empire Strikes Back
tt0086190,Star Wars: Episode VI - Return of the Jedi
tt0100502,RoboCop 2
tt0093870,RoboCop
tt0074285,Carrie
tt0054997,The Hustler
tt0243155,Bridget Jones's Diary
tt0195714,Final Destination
tt0309593,Final Destination 2
tt0251160,John Q
tt0765429,American Gangster
tt2024544,12 Years a Slave
tt0898367,The Road
tt1228987,Let Me In
tt0790724,Jack Reacher
tt0414387,Pride & Prejudice
tt0383574,Pirates of the Caribbean: Dead Man's Chest
tt0449088,Pirates of the Caribbean: At World's End
tt0099487,Edward Scissorhands
tt0352248,Cinderella Man
tt1723121,We're the Millers
tt0318627,Resident Evil: Apocalypse
tt0119116,The Fifth Element
tt0110413,Léon
tt0120685,Godzilla
tt0319262,The Day After Tomorrow
tt0443274,Vantage Point
tt0088847,The Breakfast Club
tt0099653,Ghost
tt0092890,Dirty Dancing
tt0299658,Chicago
tt0362227,The Terminal
tt0970179,Hugo
tt1731141,Ender's Game
tt0175880,Magnolia
tt0050083,12 Angry Men
tt0033467,Citizen Kane
tt0041959,The Third Man
tt0110357,The Lion King
tt0112864,Die Hard: With a Vengeance
tt1853728,Django Unchained
tt0266697,Kill Bill: Vol. 1
tt0206634,Children of Men
tt0245574,Y Tu Mamá También
tt0464141,The Orphanage
tt0245712,Amores Perros
tt0246460,Die Another Day
tt0289043,28 Days Later...
tt1217613,Battle Los Angeles
tt0796366,Star Trek
tt1408101,Star Trek Into Darkness
tt1615147,Margin Call
tt1392170,The Hunger Games
tt1951264,The Hunger Games: Catching Fire
tt0120789,Pleasantville
tt0119094,Face/Off
tt0299977,Hero
tt0342258,Unleashed
tt0096438,Who Framed Roger Rabbit
tt0087800,A Nightmare on Elm Street
tt0329101,Freddy vs. Jason
tt0290334,X-Men 2
tt0164912,Stuart Little
tt0096895,Batman
tt0119488,L.A. Confidential
tt0209144,Memento
tt0078788,Apocalypse Now
tt0099674,The Godfather: Part III
tt0117381,Primal Fear
tt0100405,Pretty Woman
tt0125439,Notting Hill
tt0311113,Master and Commander: The Far Side of the World
tt1935179,Mud
tt0478304,The Tree of Life
tt1790885,Zero Dark Thirty
tt1291584,Warrior
tt0120863,The Thin Red Line
tt0242653,The Matrix Revolutions
tt0234215,The Matrix Reloaded
tt0795368,Death at a Funeral
tt1781769,Anna Karenina
tt1250777,Kick-Ass
tt0486655,Stardust
tt1046173,G.I. Joe: The Rise of Cobra
tt0381707,White Chicks
tt0257106,Scary Movie 2
tt0046912,Dial M for Murder
tt0038650,It's a Wonderful Life
tt0272020,The Last Castle
tt0099685,Goodfellas
tt0112641,Casino
tt0212338,Meet the Parents
tt0290002,Meet the Fockers
tt1327194,The Lucky One
tt0974661,17 Again
tt0190138,The Whole Nine Yards
tt0276919,Dogville
tt0056592,To Kill a Mockingbird
tt0042192,All About Eve
tt0052311,Touch of Evil
tt0454876,Life of Pi
tt0358273,Walk the Line
tt1596350,This Means War
tt0407304,War of the Worlds
tt0387877,The Black Dahlia
tt0265086,Black Hawk Down
tt0369339,Collateral
tt1152836,Public Enemies
tt0463854,28 Weeks Later
tt0887912,The Hurt Locker
tt0405159,Million Dollar Baby
tt0375679,Crash
tt1300854,Iron Man 3
tt0373469,Kiss Kiss Bang Bang
tt0292506,The Recruit
tt0200465,The Bank Job
tt0149261,Deep Blue Sea
tt0884328,The Mist
tt0758758,Into the Wild
tt0264464,Catch Me If You Can
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull
tt0217505,Gangs of New York
tt0469494,There Will Be Blood
tt0449059,Little Miss Sunshine
tt0467406,Juno
tt0424136,Hard Candy
tt0838283,Step Brothers
tt0415306,Talladega Nights: The Ballad of Ricky Bobby
tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
tt1655442,The Artist
tt0480025,This Is England
tt1020530,Eden Lake
tt1907668,Flight
tt2369135,Need for Speed
tt0120660,Enemy of the State
tt0328107,Man on Fire
tt0955308,Robin Hood
tt0480249,I Am Legend
tt0317248,City of God
tt0118617,Anastasia
tt0108160,Sleepless in Seattle
tt0110478,Maverick
tt0387564,Saw
tt0093779,The Princess Bride
tt0285531,Dreamcatcher
tt0277371,Not Another Teen Movie
tt0071230,Blazing Saddles
tt0111282,Stargate
tt0084726,Star Trek II: The Wrath of Khan
tt0117731,Star Trek: First Contact
tt0120844,Star Trek: Insurrection
tt0114388,Sense and Sensibility
tt0109831,Four Weddings and a Funeral
tt0147800,10 Things I Hate About You
tt0440963,The Bourne Ultimatum
tt1646987,Wrath of the Titans
tt0086034,Octopussy
tt0076752,The Spy Who Loved Me
tt0073195,Jaws
tt0067116,The French Connection
tt0070047,The Exorcist
tt0061184,Who's Afraid of Virginia Woolf?
tt0417148,Snakes on a Plane
tt0099088,Back to the Future Part III
tt1041829,The Proposal
tt1133985,Green Lantern
tt0418763,Jarhead
tt0463985,The Fast and the Furious: Tokyo Drift
tt0114709,Toy Story
tt0317219,Cars
tt0119217,Good Will Hunting
tt0097165,Dead Poets Society
tt1033575,The Descendants
tt2388715,Oculus
tt1371111,Cloud Atlas
tt0903624,The Hobbit: An Unexpected Journey
tt1170358,The Hobbit: The Desolation of Smaug
tt0167261,The Lord of the Rings: The Two Towers
tt0268380,Ice Age
tt0358082,Robots
tt1436562,Rio
tt1491044,The Iceman
tt0770828,Man of Steel
tt1253864,Immortals
tt0460791,The Fall
tt0425112,Hot Fuzz
tt0365748,Shaun of the Dead
tt1092026,Paul
tt1245492,This Is the End
tt1542344,127 Hours
tt0120382,The Truman Show
tt0119177,Gattaca
tt0425061,Get Smart
tt0221027,Blow
tt0082096,Das Boot
tt0363163,Downfall
tt1979320,Rush
tt0301357,Good Bye Lenin!
tt0056801,8½
tt0087182,Dune
tt0375063,Sideways
tt0443543,The Illusionist
tt1219289,Limitless
tt1045658,Silver Linings Playbook
tt1800241,American Hustle
tt0461770,Enchanted
tt0120903,X-Men
tt0322259,2 Fast 2 Furious
tt0134847,Pitch Black
tt0106977,The Fugitive
tt0293508,The Phantom of the Opera
tt1013753,Milk
tt0315733,21 Grams
tt0114814,The Usual Suspects
tt0106489,A Bronx Tale
tt0120647,Deep Impact
tt0223897,Pay It Forward
tt1764651,The Expendables 2
tt0075148,Rocky
tt0075686,Annie Hall
tt0070666,Serpico
tt0094226,The Untouchables
tt0055928,Dr. No
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
tt0066206,Patton
tt0356721,I Heart Huckabees
tt0128445,Rushmore
tt1174732,An Education
tt0307987,Bad Santa
tt0120591,Armageddon
tt0120755,Mission: Impossible II
tt0454921,The Pursuit of Happyness
tt1155076,The Karate Kid
tt0402399,The New World
tt1049413,Up
tt0100802,Total Recall
tt0093773,Predator
tt0100403,Predator 2
tt0120669,Fear and Loathing in Las Vegas
tt0071853,Monty Python and the Holy Grail
tt0079470,Life of Brian
tt0095159,A Fish Called Wanda
tt0111503,True Lies
tt0378109,Into the Blue
tt0499448,The Chronicles of Narnia: Prince Caspian
tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader
tt0120783,The Parent Trap
tt0389790,Bee Movie
tt0327084,Over the Hedge
tt0129387,There's Something About Mary
tt0113189,GoldenEye
tt0106582,Cliffhanger
tt0160127,Charlie's Angels
tt0117571,Scream
tt0363547,Dawn of the Dead
tt0443706,Zodiac
tt0114369,Se7en
tt0097239,Driving Miss Daisy
tt0087332,Ghostbusters
tt0097428,Ghostbusters II
tt0080455,The Blues Brothers
tt0110475,The Mask
tt0116213,Eraser
tt0430105,Four Brothers
tt1104001,TRON: Legacy
tt1483013,Oblivion
tt1010048,Slumdog Millionaire
tt0367594,Charlie and the Chocolate Factory
tt1068680,Yes Man
tt0319343,Elf
tt1499658,Horrible Bosses
tt0479884,Crank
tt0289879,The Butterfly Effect
tt0901476,Bride Wars
tt0251127,How to Lose a Guy in 10 Days
tt0453467,Deja Vu
tt1229238,Mission: Impossible - Ghost Protocol
tt0382932,Ratatouille
tt0266543,Finding Nemo
tt2294629,Frozen
tt0814314,Seven Pounds
tt0382625,The Da Vinci Code
tt0211915,Amélie
tt0113247,La Haine
tt0963178,The International
tt0119174,The Game
tt0384537,Silent Hill
tt0120744,The Man in the Iron Mask
tt0094947,Dangerous Liaisons
tt0116996,Mars Attacks!
tt0121164,Corpse Bride
tt0159365,Cold Mountain
tt0116209,The English Patient
tt0381681,Before Sunset
tt0097576,Indiana Jones and the Last Crusade
tt0097733,Lethal Weapon 2
tt0099785,Home Alone
tt0104431,Home Alone 2: Lost in New York
tt0098554,Uncle Buck
tt0088258,This Is Spinal Tap
tt0417741,Harry Potter and the Half-Blood Prince
tt0162661,Sleepy Hollow
tt0092965,Empire of the Sun
tt0138097,Shakespeare in Love
tt0215750,Enemy at the Gates
tt0118583,Alien: Resurrection
tt0167190,Hellboy
tt0411477,Hellboy II: The Golden Army
tt0780504,Drive
tt1602613,Only God Forgives
tt1981115,Thor 2: The Dark World
tt0800369,Thor
tt0985699,Valkyrie
tt0389557,Black Book
tt0405094,The Lives of Others
tt0976051,The Reader
tt0274558,The Hours
tt0120616,The Mummy
tt0209163,The Mummy Returns
tt0376541,Closer
tt1515091,Sherlock Holmes: A Game of Shadows
tt0139654,Training Day
tt1535109,Captain Phillips
tt1007028,Zack and Miri Make a Porno
tt0910936,Pineapple Express
tt0805564,Lars and the Real Girl
tt1438176,Fright Night
tt0438488,Terminator Salvation
tt0181852,Terminator 3: Rise of the Machines
tt0120663,Eyes Wide Shut
tt0117998,Twister
tt0095016,Die Hard
tt0099423,Die Hard 2
tt0489099,Jumper
tt0983193,The Adventures of Tintin: The Secret of the Unicorn
tt1318514,Rise of the Planet of the Apes
tt0332452,Troy
tt0408306,Munich
tt0401383,The Diving Bell and the Butterfly
tt0830515,Quantum of Solace
tt0816711,World War Z
tt0458339,Captain America: The First Avenger
tt0298148,Shrek 2
tt0101414,Beauty and the Beast
tt0072431,Young Frankenstein
tt0057115,The Great Escape
tt0107290,Jurassic Park
tt0163025,Jurassic Park III
tt0090756,Blue Velvet
tt0166924,Mulholland Drive
tt1616195,J. Edgar
tt1210819,The Lone Ranger
tt0959337,Revolutionary Road
tt0257044,Road to Perdition
tt0870111,Frost/Nixon
tt0142688,The Ninth Gate
tt0253474,The Pianist
tt0144084,American Psycho
tt0409182,Poseidon
tt0070328,Live and Let Die
tt0094012,Spaceballs
tt0119738,My Best Friend's Wedding
tt0137494,Entrapment
tt0298814,The Core
tt0124315,The Cider House Rules
tt0241303,Chocolat
tt0082971,Raiders of the Lost Ark
tt0446029,Scott Pilgrim vs. the World
tt0829482,Superbad
tt0892769,How to Train Your Dragon
tt0120762,Mulan
tt0173840,Final Fantasy: The Spirits Within
tt0119643,Meet Joe Black
tt0385002,Green Street
tt1663662,Pacific Rim
tt1314655,Devil
tt0497465,Vicky Cristina Barcelona
tt1605783,Midnight in Paris
tt0257360,About Schmidt
tt1623205,Oz the Great and Powerful
tt0139239,Go
tt0116695,Jerry Maguire
tt0119822,As Good as It Gets
tt0128853,You've Got Mail
tt0032138,The Wizard of Oz
tt0056193,Lolita
tt0031679,Mr. Smith Goes to Washington
tt0280590,Mr. Deeds
tt2191701,Grown Ups 2
tt0113118,Friday
tt1397280,Taken 2
tt0800080,The Incredible Hulk
tt0436697,The Queen
tt0320661,Kingdom of Heaven
tt0407887,The Departed
tt0338564,Infernal Affairs
tt1220719,Ip Man
tt0347149,Howl's Moving Castle
tt0435651,The Giver
tt0107822,The Piano
tt0317705,The Incredibles
tt0084516,Poltergeist
tt0104797,Malcolm X
tt0454848,Inside Man
tt0477347,Night at the Museum
tt1058017,The Invention of Lying
tt0120768,The Negotiator
tt0120587,Antz
tt0351283,Madagascar
tt1001526,Megamind
tt0083866,E.T. the Extra-Terrestrial
tt0110322,Legends of the Fall
tt1192628,Rango
tt0055614,West Side Story
tt0048545,Rebel Without a Cause
tt1821549,Nebraska
tt0105323,Scent of a Woman
tt0077651,Halloween
tt0756683,The Man from Earth
tt0054047,The Magnificent Seven
tt0059742,The Sound of Music
tt0120188,Three Kings
tt0047296,On the Waterfront
tt0120484,The Waterboy
tt0389860,Click
tt0315327,Bruce Almighty
tt0413099,Evan Almighty
tt0405422,The 40 Year-Old Virgin
tt0373074,Kung Fu Hustle
tt0120347,Tomorrow Never Dies
tt0088846,Brazil
tt0780571,Mr. Brooks
tt0118929,Dark City
tt0462538,The Simpsons Movie
tt0056869,The Birds
tt0055254,101 Dalmatians
tt1748122,Moonrise Kingdom
tt0053604,The Apartment
tt0053291,Some Like It Hot
tt0078346,Superman
tt1334260,Never Let Me Go
tt0265459,One Hour Photo
tt0330373,Harry Potter and the Goblet of Fire
tt0481499,The Croods
tt0837562,Hotel Transylvania
tt0112431,Babe
tt2334873,Blue Jasmine
tt0401729,John Carter
tt1440129,Battleship
tt1564367,Just Go with It
tt0116483,Happy Gilmore
tt0145681,The Bone Collector
tt2053463,Side Effects
tt1568346,The Girl with the Dragon Tattoo
tt0398808,Bridge to Terabithia
tt0371724,The Hitchhiker's Guide to the Galaxy
tt0317740,The Italian Job
tt0066026,M.A.S.H.
tt0349903,Ocean's Twelve
tt1385826,The Adjustment Bureau
tt0393109,Brick
tt0090329,Witness
tt0910970,WALL·E
tt1453405,Monsters University
tt1216475,Cars 2
tt0140352,The Insider
tt0109830,Forrest Gump
tt0096969,Born on the Fourth of July
tt0822854,Shooter
tt0834001,Underworld: Rise of the Lycans
tt1496025,Underworld: Awakening
tt1478338,Bridesmaids
tt1690953,Despicable Me 2
tt1323594,Despicable Me
tt0800039,Forgetting Sarah Marshall
tt0369441,Fun with Dick and Jane
tt0177789,Galaxy Quest
tt0435761,Toy Story 3
tt0120363,Toy Story 2
tt0098258,Say Anything...
